,First entry (Title + ISBN),Second entry (Title + ISBN),similairity_score
225,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9339518555278227
226,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -","ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9339518555278227
227,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9339518555278227
228,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9339518555278227
229,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9339518555278227
176,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -","ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9339518555278227
1171,ilustracja legend warszawy ewy szelburg-zarembiny : burmistrz śmierć ; kiść bzu ; -,ilustracja legend warszawy ewy szelburg-zarembiny : przestroga ; kwiaty jabłoni ; -,0.9338905633915974
1126,ilustracja legend warszawy ewy szelburg-zarembiny : wróżba panny wodnej ; kwiaty smolinosy ; -,ilustracja legend warszawy ewy szelburg-zarembiny : o basi giżance ; róże ; -,0.9338905633915974
1127,ilustracja legend warszawy ewy szelburg-zarembiny : wróżba panny wodnej ; kwiaty smolinosy ; -,ilustracja legend warszawy ewy szelburg-zarembiny : burmistrz śmierć ; kiść bzu ; -,0.9338905633915974
1172,ilustracja legend warszawy ewy szelburg-zarembiny : burmistrz śmierć ; kiść bzu ; -,ilustracja legend warszawy ewy szelburg-zarembiny : wróżba panny wodnej ; kwiaty smolinosy ; -,0.9338905633915974
1217,ilustracja legend warszawy ewy szelburg-zarembiny : przestroga ; kwiaty jabłoni ; -,ilustracja legend warszawy ewy szelburg-zarembiny : burmistrz śmierć ; kiść bzu ; -,0.9338905633915974
1202,ilustracja legend warszawy ewy szelburg-zarembiny : o basi giżance ; róże ; -,ilustracja legend warszawy ewy szelburg-zarembiny : wróżba panny wodnej ; kwiaty smolinosy ; -,0.9338905633915974
1201,ilustracja legend warszawy ewy szelburg-zarembiny : o basi giżance ; róże ; -,ilustracja legend warszawy ewy szelburg-zarembiny : przestroga ; kwiaty jabłoni ; -,0.9338905633915974
1216,ilustracja legend warszawy ewy szelburg-zarembiny : przestroga ; kwiaty jabłoni ; -,ilustracja legend warszawy ewy szelburg-zarembiny : o basi giżance ; róże ; -,0.9338905633915974
985,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96 ; -",0.931206819237414
986,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142 ; -,0.931206819237414
987,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66 ; -",0.931206819237414
988,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.931206819237414
989,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.931206819237414
